EVM_WALLET_ADDRESS,AMOUNT,CHAIN,TOKEN,TX_HASH
0x4793755541Ae9f950a68Fc7fc2B3BD2CC9397b9A,0.13,sepolia,usdc,0x237c0c304646dc0c1e15376f9d1adc0981f8753220a67f4eb8a205330fc2666f
0x4793755541Ae9f950a68Fc7fc2B3BD2CC9397b9A,0.04,sepolia,eth,0x38a05fef9f4805fab4076060cf7bbc135889aeffaaafd0f576c5e4bdafc5bb2b
